0,1
temp_hf_images\hf_sample_67.png,two rival African Nationalist Parties of Northern
temp_hf_images\hf_sample_126.png,to the Africans and Liberals attending . These
temp_hf_images\hf_sample_34.png,"support , a large majority of Labour"
temp_hf_images\hf_sample_82.png,meet in London today to discuss a common
temp_hf_images\hf_sample_187.png,"M Ps yesterday : "" I have no knowledge of secret negotiations . """
temp_hf_images\hf_sample_77.png,"Mr. Iain Macleod , is insisting on a policy of change ."
temp_hf_images\hf_sample_144.png,his full plans to the Africans and Liberals
temp_hf_images\hf_sample_173.png,Northern Rhodesia's future . The Northern
temp_hf_images\hf_sample_155.png,"Minister of the Central African Federation , went"
temp_hf_images\hf_sample_156.png,in the Commons last night that there have been
temp_hf_images\hf_sample_165.png,there have been secret negotiations on
temp_hf_images\hf_sample_56.png,"of the House of Lords , but while it remains"
temp_hf_images\hf_sample_196.png,"spokesman , said Sir Roy had no right to"
temp_hf_images\hf_sample_158.png,"MR. IAIN MACLEOD , the Colonial Secretary , denied"
temp_hf_images\hf_sample_101.png,future . Said Mr. Nkumbula last night :
temp_hf_images\hf_sample_20.png,institution .
temp_hf_images\hf_sample_92.png,to discuss a common course of action .
temp_hf_images\hf_sample_112.png,"Yesterday Sir Roy's chief aide , Mr."
temp_hf_images\hf_sample_80.png,"majority in Northern Rhodesia , but the"
temp_hf_images\hf_sample_121.png,Macmillan at Chequers .
temp_hf_images\hf_sample_43.png,should not now put forward nominees . He believes
temp_hf_images\hf_sample_81.png,"African National Congress ( 400,000 ) will"
temp_hf_images\hf_sample_11.png,Foot has put down a resolution on the subject
temp_hf_images\hf_sample_13.png,"which would appear to "" prop up "" an out-dated"
temp_hf_images\hf_sample_142.png,to discuss the function of a proposed
temp_hf_images\hf_sample_143.png,which had blown up . He has now revealed
temp_hf_images\hf_sample_136.png,at Lancaster House despite the crisis
temp_hf_images\hf_sample_32.png,Government Bill which brought life peers
temp_hf_images\hf_sample_193.png,He said Britain had an obligation to consult
temp_hf_images\hf_sample_106.png,British Government gives in to Sir Roy and
temp_hf_images\hf_sample_162.png,been boycotted by the two main settlers' parties -
temp_hf_images\hf_sample_99.png,the talks fall through . There are bound
temp_hf_images\hf_sample_66.png,"challenge from Sir Roy Welensky , the Federal Premier ."
temp_hf_images\hf_sample_19.png,that the House of Lords should be abolished
